;Preprocessed Title and Abstract
1059;coach paid coaching salary ncaa cartel recently deal controversy generated salary earned head coach ncaa figure world sport earn salary difference ncaa player paid develop cartel agreement pay player raise coach salary player choose play identity coach agreement pay player improves competitive balance baseline generalize
209;research-and-development appropriability planned obsolescence evidence wheat breeding plant breeder unique appropriation problem plants reproducible genetic information heritable seed multiplied varietal age proxy durability examine planned obsolescence strategy wheat breeding market‐weighted age fell fall account increased varietal proliferation breeding strategy focus incremental productivity improvement increased efficiency narrow limited disease resistance reduced durability
77;trade secret information sharing trade secret weakly protected law risk losing valuable information employee hired competitor optimal limit employee share trade secret reduces productive efficiency benefit limited information sharing efficiency low competition market tough weak shown profitable reduce information sharing giving employee information giving employee information
1928;patent litigation performance enforcement analyzes german patent litigation involved patent litigation suit german separation infringement invalidity decision patent holder window opportunity enforce patent invalidated shift major share risk defendant allocating bargaining power plaintiff empirically incongruity analyzing patent litigation outcome germany affect financial performance disputing plaintiff average profit litigation defendant agreeing settlement deal lose defendant losing trial unexperienced defendant disadvantage dealing litigation stress patent validity entirely established infringement proceeding defendant defendant disadvantaged separation infringement nullity proceeding
1036;normalization deviant organizational practice wage arrears russia apply normalization deviance understand prevalence illegal wage arrears delayed payment wage russia viewing organizational deviance potentially self-reinforcing hypothesize frequent adoption deviant community make community engage deviance injured stakeholder oppose wage arrears russia panel nationally representative agricultural industrial enterprise support hypothesis
1201;merger failure proposes explanation merger fail interaction pre post‐merger argue failure stem informational asymmetry arising pre‐merger period cooperation coordination recently merged partner optimally agree merge abstain putting forth post‐merger effort counting partner effort follow course action merger go ahead fails unique equilibrium allows prediction merger fail
2250;career scandal evidence retraction investigate community perception scientist change article retracted relative non-retracted control author faculty experience retraction citation rate earlier non-retracted article drop average consistent bayesian intuition market inferred mediocre investigate eminence retracted author cause retraction fraud mistake shape magnitude penalty eminent scientist harshly penalized distinguished peer wake retraction involving fraud misconduct retraction event source honest mistake evidence differential stigma low-status faculty
2213;improving effectiveness nondisclosure agreement strengthening concept learning intellectual property infringement rank economic crime mechanism prevent occurrence mechanism nondisclosure agreement reported fail article argues overcome strengthening employee concept learning experiment investigated extended nondisclosure agreement employee detailed explanation example lead recognition trade secret compared standard nondisclosure agreement agreement extended nondisclosure agreement increased participant ability judge fall trade secret law standard nondisclosure agreement furthermore factor involvement specificity publicity purpose identification trade secret proven experimentally employee judgment information represents trade secret rely cognitive follows concept learning integrated systematic protecting intellectual property
1539;genomics regime evidence netherlands scientist commenting development life science suggested rise genomics field human genetics involve shift agenda rare monogenetic disorder multifactorial common disease involves transformation institutional level regime dutch genomics landscape regime embedded increasingly dominant value objective exert pressure collaborate industrial partner valorize knowledge ass pressure actually transforming regime multi-level developed applied regime characterized term identity actor knowledge product exchanged principle coordinate exchange dominant regime typical genomics field alzheimer disease compared regime typical clinical genetics field duchenne muscular dystrophy regime transforming response landscape pressure regime transformed background changing landscape expectation dmd regime change condition maturation development level genomics regime follow dynamic reflecting changing genomics landscape
2619;exploring relationship family involvement collaborative innovation design-intensive insight leading player furniture abstract
1259;woman collaboration collaborative motif strategy academic woman academic faculty vary collaboration pattern strategy straightforward question lend straightforward answer sex-correlated variable possibly mitigate relationship sex collaboration sex-correlated difference collaborator infer intrinsic woman strategy preference difference owe instead woman position hierarchy focus set collaboration variable collaborator collaboration strategy employed questionnaire u.s national survey academic scientist test hypothesis collaboration strategy regression indicate counter core hypothesis published properly specified taking account factor tenure discipline family status doctoral cohort woman actually somewhat collaborator average woman industrial interaction affiliated university center collaborator woman collaborator choice strategy oriented instrumental experience strategy woman motivated mentoring strategy regression analysis woman coherent collaborator choice strategy predicts collaborator
2208;gotcha network-based fraud detection security fraud network information security fraud detection security company pay tax government aim identify company intentionally bankrupt avoid contributing tax link company shared resource resource instigator fraud introduce gotcha define extract feature time-weighted network exploit integrate network-based intrinsic feature fraud detection gotcha propagation algorithm diffuses fraud network labeling unknown anticipating future fraud simultaneously decaying importance past fraud domain-driven network variable detecting past future fraud improve baseline detecting additional fraudsters
2378;dynamic profit wage technology offshoring demand abstract
642;cultural cluster global–local linkage spillover theoretical insight exploratory toronto film cluster discus importance global–local linkage indigenous production cultural cluster analyzing interplay indigenous film production cluster toronto canada hollywood runaway production global–local linkage forefront current debate cluster limited cultural cluster identifies limitation dominant cluster explain difficulty toronto develop indigenous cultural cluster inclusion global linkage toronto film cluster insight current potential barrier faced indigenous film industry
1792;political value culture corporate litigation largest sample litigation available date examine political culture determines propensity corporate misconduct measure political culture political contribution manager political action committee local resident republican culture subject civil right labor environmental litigation democratic consistent democratic ideology emphasizes equal right labor right environmental protection democratic culture subject litigation security fraud intellectual-property-right violation republican party ideology stress self-reliance property right market discipline limited government regulation litigation filing experience similar announcement reaction suggests observed relationship political culture corporate misconduct unlikely reflect difference expected litigation
2933;intended consequence institution lowering barrier entrepreneurship female worker propose institution reduce barrier entrepreneurship lead intended consequence entry rate individual facing obstacle entrepreneurship woman regulation unintended consequence decreasing value appropriated woman stay paid employment woman lose departing peer exogenous reduction entry barrier portugal woman launch venture rate entry barrier fall change lead relative decline woman wage paid employment amplified woman managerial position leave lose stay contributes nuanced understanding rent‐allocation
182;technology market orientation company participation framework programme analyse nature framework programme degree market-orientation precompetitiveness fourth framework programme precompetitiveness participation attribute independent technology market orientation technology orientation motive participation framework programme learning knowledge market orientation motive commercial objective technology market orientation appear equally basic motivation company participation programme company usually choose collaboration mode framework programme participation continues mainly precompetitive special circumstance contract principle framework programme
1699;dynamic auction multi-object procurement hard budget constraint contribution revisits allocating research-and-development subsidy government agency typically applicant financial constraint private information recommended auction reduce information rent improve efficiency scarce public fund allocated propose clock auction procurement auction strategically simple exhibit truthtelling dominant strategy satisfies ex-post rationality observing budget constraint test auction monte-carlo simulation discus applicability limitation highlight connection recent advance computer
550;strategic commitment optimal capacity decision asymmetric forecast information assure credible forecast information sharing supplier manufacturer supplier responsible acquiring capacity receiving manufacturer posse private forecast information product address contract affect supplier capacity decision profitability supplier manufacturer develop contract explicit formula enable credible forecast information sharing nonlinear capacity reservation contract manufacturer agrees pay fee reserve capacity advance purchase contract manufacturer induced supplier secures component capacity build product contract serve strategic information sharing capacity reservation contract enables supplier detect manufacturer private forecast information advance purchase contract enables manufacturer forecast information channel coordination asymmetric forecast information combining advance purchase contract appropriate payback agreement structural numerical degree forecast information asymmetry risk-adjusted profit margin driver determine supply chain efficiency contract adopt
1697;contemporaneous peer career age industry involvement academic biotechnology explores contemporaneous peer driving academic involvement industry specifically examine influence workplace peer personal collaborator moderated career age scientist look situation influence incongruent academic faced dissonance survey german academic field biotechnology publication citation index expanded scie scientist involvement industry orientation scientist department industry localized peer moderated scientist age localized peer decrease age finally senior scientist scientist involvement industry orientation scientist co-authors personal peer irrespective scientist age influence incongruent scientist revert localized norm experienced scientist orient personal collaborator
1700;light emitting diode lighting revolution emergence solid-state lighting industry emergence industry evolving technology critical global economy understudied paucity available draw lesson industry emergence analyzing solid-state lighting ssl industry grew light emitting diode led technology evolved half century participation ten thousand university national laboratory publication patent combined business history trace evolution ssl succession market niche time unorthodox breakthrough greatly advanced technology trajectory pushed led unexpected direction succession led market niche advanced technology profit incentivize continuing reducing improving efficacy led innovating developed thicket patent captured substantial profit embroiled extensive litigation ultimately resolved cross-licensing major generation lighting product disrupting traditional lighting industry leading incumbent lighting invested heavily ssl industry future leadership uncertain
1790;underpinning strategic behaviour posture principal investigator transition/uncertain environment principal investigator pi key strategic actor shaping trajectory little strategise evolving publicly-funded environment drawing thirty interview extensive documentation ireland engineering technology set sector closer look heretofore neglected strategic behaviour underlying activity pi suggest strategic behaviour fall category designer adapter supporter pursuer mechanism selecting strategy interwoven posture reactive/proactive pi degree conformance argue proactive pi utilising non-conformance strategy shape trajectory conformative reactive pi predominantly pursue deepen existing trajectory discus wider implication policy maker funding body practicing strategist
321;question question care reformulating entrepreneurship history creativity shown reformulating question lead breakthrough trying harder search rigorous answer spirit creative play suggest throw obsession dividing world entrepreneur nonentrepreneurs focus instead category entrepreneur entrepreneur suggest compelling question barrier entrepreneurship entrepreneur develop expertise impelling focus rubric
920;footloose monopoly regulating national champion analyze optimal regulation domestic monopolist competes unregulated foreign market foreign activity affect regulation consumer surplus national welfare profit expansion unregulated foreign market amplifies distortion caused regulator limited information allowing compete abroad necessarily harm domestic consumer analyze decision expand abroad coincides national
2056;worker-level firm-level wage subsidy program highly educated labor evidence denmark danish wage subsidy program highly educated worker performance person participating program population program participant worker program positive employment annual earnings program participation positive program expiration employer-level statistically highly educated employee period program participation subsequent period total employee positive program participation statistically value added net income return asset wage employee labor productivity
1276;innovation bubble example human genome detailed synthesis human genome hgp mid test hypothesis bubble claim strong interaction enthusiastic supporter weave network reinforcing feedback lead widespread endorsement extraordinary commitment involved rationalized standard cost-benefit presence extraordinary uncertainty risk hgp initiated public funded government agency starting moderate pace progressive introduction actor catalyzed eventually eminent public private sector competition public private sector played greatly favor financial burden horizon public significantly reduced private project s gained hype public play active collaborative remain game core bubble hypothesis argument quantitative biotech sector financial market lastly hype fueling bubble followed real tangible outcome short expected horizon writing consensus community decade exploit fruit hgp
1401;long-run public–private joint venture danish innovation consortium scheme subsidized joint venture rjvs public institution industry increasingly popular europe long-run scheme maintained danish government cope identification apply nearest neighbor matching conditional difference-in-difference estimation method main program participation instant annual patent application employment materialize iii statistically value added labor productivity overall primarily driven patent active joining rjv statistically insignificant document coupled over-represented program including considered lead suggest rethinking policy aim
